title,rating,num_reviews,num_published_lectures,last_update_date,duration_hours,num_subscribers,headline,technologies,days_since_last_update
The Complete Python Bootcamp From Zero to Hero in Python,4.5927815,452973,155,2021-03-14,22.0,1976866,Learn Python like a Professional  Start from the basics and go all the way to creating your own applications and games,Python,1510
The Complete 2023 Web Development Bootcamp,4.667258,263152,490,2023-01-20,655.0,1362586,"Become a Full-Stack Web Developer with just ONE course. HTML, CSS, Javascript, Node, React, PostgreSQL, Web3 and DApps",Web Development,833
Angular - The Complete Guide (2023 Edition),4.5926924,180257,472,2023-02-06,345.0,788455,"Master Angular (formerly ""Angular 2"") and build awesome, reactive web apps with the successor of Angular.js",Angular,816
100 Days of Code: The Complete Python Pro Bootcamp for 2023,4.6952515,177568,676,2022-11-30,64.0,1417942,"Master Python by building 100 projects in 100 days. Learn data science, automation, build websites, games and apps!",Python,884
Java Programming Masterclass updated to Java 17,4.5502763,177184,544,2023-02-15,1035.0,884140,Acquire Key Java Skills: From Basics to Advanced Programming and Certification - Start Your Dev Career,Java,807
"React - The Complete Guide (incl Hooks, React Router, Redux)",4.609824,176452,512,2023-02-09,485.0,909848,"Dive in and learn React.js from scratch! Learn React, Hooks, Redux, React Router, Next.js, Best Practices and way more!",React,813
The Complete JavaScript Course 2023: From Zero to Expert!,4.728533,167670,320,2022-11-07,69.0,948984,"The modern JavaScript course for everyone! Master JavaScript with projects, challenges and theory. Many courses in one!",JavaScript,907
Machine Learning A-Z™: Python & R in Data Science [2023],4.528399,166138,382,2023-02-04,425.0,1093550,Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included.,"Python, Machine Learning, Data Science",818
Python for Data Science and Machine Learning Bootcamp,4.622137,126984,165,2020-05-03,25.0,737929,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!","Python, Machine Learning, Data Science",1825
The Data Science Course 2023: Complete Data Science Bootcamp,4.5870066,119504,517,2022-12-20,32.0,719783,"Complete Data Science Training: Math, Statistics, Python, Advanced Statistics in Python, Machine and Deep Learning",Data Science,864
Automate the Boring Stuff with Python Programming,4.6550035,105532,51,2023-02-01,95.0,1134900,"A practical programming course for office workers, academics, and administrators who want to improve their productivity.",Python,821
Complete C# Unity Game Developer 2D,4.6858044,97785,140,2022-12-28,185.0,474787,"Learn Unity in C# & Code Your First Five 2D Video Games for Web, Mac & PC. The Tutorials Cover Tilemap",C#,856
Learn Python Programming Masterclass,4.5793633,96940,542,2023-01-30,73.0,429931,This Python For Beginners Course Teaches You The Python Language  Fast.  Includes Python Online Training With Python 3,Python,823
Selenium WebDriver with Java -Basics to Advanced+Frameworks,4.5966754,95325,329,2023-01-01,54.0,400572,"""TOP RATED  #1 Master SELENIUM java 4 (Latest) course"" -5 Million students learning worldWide with great collaboration",Java,852
Build Responsive Real-World Websites with HTML and CSS,4.767181,90437,151,2022-11-07,375.0,433995,"Learn modern HTML5, CSS3 and web design by building a stunning website for your portfolio! Includes flexbox and CSS Grid","HTML, CSS",907
iOS & Swift - The Complete iOS App Development Bootcamp,4.75045,83103,542,2021-11-15,605.0,392351,From Beginner to iOS App Developer with Just One Course! Fully Updated with a Comprehensive Module Dedicated to SwiftUI!,Swift,1264
Modern React with Redux [2023 Update],4.690943,80153,409,2023-02-03,375.0,322302,"Master React and Redux. Apply modern design patterns to build apps with React Router, TailwindCSS, Context, and Hooks!",React,819
The Ultimate MySQL Bootcamp: Go from SQL Beginner to Expert,4.6440387,78175,652,2022-12-22,375.0,466263,"JUST COMPLETELY REDONE!  Master SQL, Work With Complex Databases, Build Reports, and More!","Go, SQL, MySQL",862
The Complete Node.js Developer Course (3rd Edition),4.5921683,68865,177,2021-03-22,35.0,305349,"Learn Node.js by building real-world applications with Node JS, Express, MongoDB, Jest, and more!",Node.js,1502
Spring & Hibernate for Beginners (includes Spring Boot),4.6082215,68728,569,2023-02-14,425.0,405174,"Spring Boot 3: Learn Spring 6, Spring Core, Spring REST, Spring MVC, Spring Security, Thymeleaf, JPA, Hibernate, MySQL",Spring Boot,808
Unreal Engine 5 C++ Developer: Learn C++ & Make Video Games,4.711572,63232,210,2023-01-26,295.0,378146,Created in collaboration with Epic Games. Learn C++ from basics while making your first 5 video games in Unreal,C++,827
The Python Mega Course: Learn Python in 50 Days with 20 Apps,4.683692,60871,402,2023-02-08,445.0,331210,Learn Python from zero to complete by building real programs to gain the skills needed to land an entry-level job.,Python,814
C# Basics for Beginners: Learn C# Fundamentals by Coding,4.482919,60248,87,2020-12-10,55.0,249279,"Master C# fundamentals in 6 hours - The most popular course with 50,000+ students, packed with tips and exercises!",C#,1604
Docker Mastery: with Kubernetes +Swarm from a Docker Captain,4.663327,57907,208,2023-02-15,215.0,324565,"Build, test, deploy containers with the best mega-course on Docker, Kubernetes, Compose, GitHub Actions CI using DevOps","Docker, Kubernetes",807
Beginning C++ Programming - From Beginner to Beyond,4.5539045,56755,305,2023-02-01,46.0,319970,Obtain Modern C++ Object-Oriented Programming (OOP) and STL skills. C++14 and C++17 covered.  C++20 info see below.,C++,821
Docker and Kubernetes: The Complete Guide,4.6797447,52910,320,2023-02-15,22.0,313225,"Build, test, and deploy Docker applications with Kubernetes while learning production-style development workflows","Docker, Kubernetes",807
R Programming A-Z™: R For Data Science With Real Exercises!,4.6208124,49407,78,2023-01-09,105.0,274110,"Learn Programming In R And R Studio. Data Analytics, Data Science, Statistical Analysis, Packages, Functions, GGPlot2",Data Science,844
Python and Django Full Stack Web Developer Bootcamp,4.440449,46528,198,2019-09-04,32.0,214858,"Learn to build websites with HTML , CSS , Bootstrap , Javascript , jQuery , Python 3 , and Django!","Python, Django",2067
JavaScript: Understanding the Weird Parts,4.7288976,46369,89,2022-11-14,12.0,193687,"An advanced JavaScript course for everyone! Scope, closures, prototypes, 'this', build your own framework, and more.",JavaScript,900
Complete Python Developer in 2023: Zero to Mastery,4.6473503,45689,340,2023-02-07,31.0,223680,"How to become a Python 3 Developer and get hired! Build 12+ projects, learn Web Development, Machine Learning + more!",Python,815
